"name","description","short_name","id"
"Potencia disponible de generación Hulla antracita horizonte año móvil","Calculada, para cada tipo de producción de generación convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado. En concreto este indicador se refiere a los grupos con tipo de producción Hulla antracita. El horizonte año móvil muestra la disponibilidad en función del plan anual de mantenimiento del equipo generador previsto para los doce meses siguientes. Este indicador se puede desglosar por provincias. Publicación: el día 1 de cada mes a partir de las 4:30 horas con los datos por día del mes M hasta M+11.","Hulla antracita horizonte año móvil",483
"Potencia disponible de generación Hulla sub-bituminosa horizonte año móvil","Calculada, para cada tipo de producción de generación convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado. En concreto este indicador se refiere a los grupos con tipo de producción Hulla sub-bituminosa. El horizonte año móvil muestra la disponibilidad en función del plan anual de mantenimiento del equipo generador previsto para los doce meses siguientes. Este indicador se puede desglosar por provincias. Publicación: el día 1 de cada mes a partir de las 4:30 horas con los datos por día del mes M hasta M+11.","Hulla sub-bituminosa horizonte año móvil",484
"Potencia disponible de generación Ciclo combinado horizonte año móvil","Calculada, para cada tipo de producción de generación convencional como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado. En concreto este indicador se refiere a los grupos con tipo de producción Ciclo combinado. El horizonte año móvil muestra la disponibilidad en función del plan anual de mantenimiento del equipo generador previsto para los doce meses siguientes. Este indicador se puede desglosar por provincias. Publicación: el día 1 de cada mes a partir de las 4:30 horas con los datos por día del mes M hasta M+11.","Ciclo combinado horizonte año móvil",485
"Potencia disponible de generación Fuel horizonte año móvil","Calculada, para cada tipo de producción de generación convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado. En concreto este indicador se refiere a los grupos con tipo de producción Fuel. El horizonte año móvil muestra la disponibilidad en función del plan anual de mantenimiento del equipo generador previsto para los doce meses siguientes. Este indicador se puede desglosar por provincias. Publicación: el día 1 de cada mes a partir de las 4:30 horas con los datos por día del mes M hasta M+11.","Fuel horizonte año móvil",486
"Potencia disponible de generación Gas Natural horizonte año móvil","Calculada, para cada tipo de producción de generación convencional, como diferencia entre la suma de potencias netas instaladas registradas en el sistema e&middot;sios y el total de la potencia indisponible declarada por los Sujetos del Mercado. En concreto este indicador se refiere a los grupos con tipo de producción Gas Natural. El horizonte año móvil muestra la disponibilidad en función del plan anual de mantenimiento del equipo generador previsto para los doce meses siguientes. Este indicador se puede desglosar por provincias. Publicación: el día 1 de cada mes a partir de las 4:30 horas con los datos por día del mes M hasta M+11.","Gas Natural horizonte año móvil",487
"Capacidad de intercambio (NTC) con Francia importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Francia en el sentido FR->ES, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Francia importación",488
"Capacidad de intercambio (NTC) con Portugal importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Portugal en el sentido PT->ES, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Portugal importación",489
"Capacidad de intercambio (NTC) con Marruecos importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Maruecos en el sentido MA->ES, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Marruecos importación",490
"Capacidad de intercambio (NTC) con Andorra importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Andorra en el sentido AN->ES, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Andorra importación",491
"Capacidad de intercambio (NTC) con Francia exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Francia en el sentido ES->FR, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Francia exportación",492
"Capacidad de intercambio (NTC) con Portugal exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Portugal en el sentido ES->PT, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Portugal exportación",493
"Capacidad de intercambio (NTC) con Marruecos exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Marruecos en el sentido ES->MA, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Marruecos exportación",494
"Capacidad de intercambio (NTC) con Andorra exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la capacidad en la interconexión [MW] con Marruecos en el sentido ES->AN, en tiempo real, para cada hora. Publicación: El día inmediatamente anterior al día de programación antes de las 11 horas y diariamente se actualiza hasta el propio día de aplicación.","Andorra exportación",495
"Capacidad de intercambio autorizada con Francia importación","Las subastas explícitas de capacidad son un mecanismo de mercado para gestionar la congestión de la interconexión entre Francia y España.  La capacidad de intercambio comercial se subasta en forma de Derechos Físicos de Capacidad (PTRs, por sus siglas en inglés) para cada horizonte de negociación. En la actualidad, las subastas explícitas son únicamente empleadas en horizontes de largo plazo (i.e.: anual y mensual). Este mecanismo se recoge en las reglas HAR (Harmonized Allocation Rules) derivadas del Reglamento 2016/1719 (GL FCA). En concreto este indicador se refiere a la capacidad horaria adquirida [MW] en las subastas explícitas en el sentido FR->ES por los participantes en las subastas explícitas en la interconexión con Francia una vez se han tenido en cuenta las posibles reducciones de capacidad establecidas de manera coordinada por los TSO&#39;s por razones de seguridad. Publicación: Diariamente a las 15:55 se publican los datos del día D+2.","Francia importación",496
"Capacidad de intercambio autorizada con Francia exportación","Las subastas explícitas de capacidad son un mecanismo de mercado para gestionar la congestión de la interconexión entre Francia y España.  La capacidad de intercambio comercial se subasta en forma de Derechos Físicos de Capacidad (PTRs, por sus siglas en inglés) para cada horizonte de negociación. En la actualidad, las subastas explícitas son únicamente empleadas en horizontes de largo plazo (i.e.: anual y mensual). Este mecanismo se recoge en las reglas HAR (Harmonized Allocation Rules) derivadas del Reglamento 2016/1719 (GL FCA). En concreto este indicador se refiere a la capacidad horaria adquirida [MW] en las subastas explícitas en el sentido ES->FR por los participantes en las subastas explícitas en la interconexión con Francia una vez se han tenido en cuenta las posibles reducciones de capacidad establecidas de manera coordinada por los TSO&#39;s por razones de seguridad. Publicación: Diariamente a las 15:55 se publican los datos del día D+2.","Francia exportación",497
"Capacidad de intercambio prevista (NTC) con Francia horizonte semanal importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido FR->ES para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Francia horizonte semanal importación",498
"Capacidad de intercambio prevista (NTC) con Portugal horizonte semanal importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido PT->ES para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Portugal horizonte semanal importación",499
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte semanal importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido MA->ES para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Marruecos horizonte semanal importación",500
"Capacidad de intercambio prevista (NTC) con Andorra horizonte semanal importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido AN->ES para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Andorra horizonte semanal importación",501
"Capacidad de intercambio prevista (NTC) con Francia horizonte semanal exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido ES->FR para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Francia horizonte semanal exportación",502
"Capacidad de intercambio prevista (NTC) con Portugal horizonte semanal exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido ES->PT para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Portugal horizonte semanal exportación",503
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte semanal exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido ES->MA para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Marruecos horizonte semanal exportación",504
"Capacidad de intercambio prevista (NTC) con Andorra horizonte semanal exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido ES->AN para cada hora de la siguiente semana. Publicación: Desde el pasado 13 de noviembre de 2020 este indicador dejó de incorporar nueva información.","Andorra horizonte semanal exportación",505
"Capacidad de intercambio disponible (ATC) con Francia horizonte diario importación","Capacidad de intercambio disponible tras los procesos de asignación de capacidad previos en el largo plazo. El proceso de programación se recoge en la en el P.O.3.1 En concreto este indicador se refiere a la capacidad de intercambio [MW] disponible en la interconexión con Francia en el sentido FR->ES antes de la casación en el mercado diario y para cada hora del día siguiente. Publicación: Diariamente antes de las 11:00 horas del día D-1 con la información de día D.","Francia horizonte diario importación",506
"Capacidad de intercambio disponible (ATC) con Francia horizonte diario exportación","Capacidad de intercambio disponible tras los procesos de asignación de capacidad previos en el largo plazo. El proceso de programación se recoge en la en el P.O.3.1 En concreto este indicador se refiere a la capacidad de intercambio [MW] disponible en la interconexión con Francia en el sentido ES->FR antes de la casación en el mercado diario y para cada hora del día siguiente. Publicación: Diariamente antes de las 11:00 horas del día D-1 con la información de día D.","Francia horizonte diario exportación",507
"Capacidad de intercambio prevista (NTC) con Francia horizonte mensual importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido FR->ES para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Francia horizonte mensual importación",510
"Capacidad de intercambio prevista (NTC) con Portugal horizonte mensual importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido PT->ES para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Portugal horizonte mensual importación",511
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte mensual importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido MA->ES para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Marruecos horizonte mensual importación",512
"Capacidad de intercambio prevista (NTC) con Andorra horizonte mensual importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido AN->ES para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Andorra horizonte mensual importación",513
"Capacidad de intercambio prevista (NTC) con Francia horizonte mensual exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido ES->FR para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Francia horizonte mensual exportación",514
"Capacidad de intercambio prevista (NTC) con Portugal horizonte mensual exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido ES->PT para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Portugal horizonte mensual exportación",515
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte mensual exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido ES->MA para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Marruecos horizonte mensual exportación",516
"Capacidad de intercambio prevista (NTC) con Andorra horizonte mensual exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido ES->AN para cada hora del siguiente mes. Publicación: No más tarde de las 13:00 horas del tercer (3.er) día laborable previo a la fecha de ejecución de las subastas mensuales de capacidad de intercambio correspondientes al mes inmediato siguiente.","Andorra horizonte mensual exportación",517
"Capacidad de intercambio prevista (NTC) con Francia horizonte año móvil importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido FR->ES para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Francia horizonte anual importación",518
"Capacidad de intercambio prevista (NTC) con Portugal horizonte año móvil importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido PT->ES para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Portugal horizonte anual importación",519
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte año móvil importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido MA->ES para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Marruecos horizonte anual importación",520
"Capacidad de intercambio prevista (NTC) con Andorra horizonte año móvil importación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido AN->ES para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Andorra horizonte anual importación",521
"Capacidad de intercambio prevista (NTC) con Francia horizonte año móvil exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Francia en el sentido ES->FR para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Francia horizonte anual exportación",522
"Capacidad de intercambio prevista (NTC) con Portugal horizonte año móvil exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Portugal en el sentido ES->PT para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Portugal horizonte anual exportación",523
"Capacidad de intercambio prevista (NTC) con Marruecos horizonte año móvil exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Marruecos en el sentido ES->MA para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Marruecos horizonte anual exportación",524
"Capacidad de intercambio prevista (NTC) con Andorra horizonte año móvil exportación","Máximo valor admisible del programa de intercambio de energía entre dos sistemas eléctricos interconectados, compatible con el cumplimiento de los criterios de seguridad y con las posibles incertidumbres técnicas sobre las condiciones futuras de funcionamiento. El proceso de cálculo de la capacidad de intercambio se recoge en el P.O.-4.0 En concreto este indicador se refiere a la previsión de capacidad en la interconexión [MW] con Andorra en el sentido ES->AN para cada hora del siguiente año. Publicación: No más tarde del décimo día previo a la fecha de ejecución de las subastas anuales de capacidad de intercambio correspondientes al año inmediato siguiente y mensualmente con la información de la capacidad mensual.","Andorra horizonte anual exportación",525
"Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.A (peaje por defecto)","Perfil de carga que se utilizará para calcular la facturación en consumidores acogidos al PVPC cuando el suministro no disponga de equipo de medida con capacidad para telemedida y telegestión, y efectivamente integrado en los correspondientes sistemas, aplicando a las lecturas reales por periodos puestas a disposición de los comercializadores por los encargados de la lectura, dichos perfiles de consumo. Para el cálculo de dichos perfiles se utiliza la demanda prevista por el Operador del Sistema. En concreto este indicador se refiere a los perfiles de consumo para el cálculo de la facturación del PVPC para la Tarifa 2.0.A (peaje por defecto). Puede obtener más información en el Real Decreto 216/2014, de 28 de marzo, por el que se establece la metodología de cálculo de los precios voluntarios para el pequeño consumidor de energía eléctrica y su régimen jurídico de contratación. Publicación: diariamente sobre las 21:00 horas con la información del día D+1.","Tarifa 2.0.A (peaje por defecto)",526
"Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.DHA (Eficiencia 2 periodos)","Perfil de carga que se utilizará para calcular la facturación en consumidores acogidos al PVPC cuando el suministro no disponga de equipo de medida con capacidad para telemedida y telegestión, y efectivamente integrado en los correspondientes sistemas, aplicando a las lecturas reales por periodos puestas a disposición de los comercializadores por los encargados de la lectura, dichos perfiles de consumo. Para el cálculo de dichos perfiles se utiliza la demanda prevista por el Operador del Sistema. En concreto este indicador se refiere a los perfiles de consumo para el cálculo de la facturación del PVPC para la Tarifa 2.0.DHA (Eficiencia 2 periodos). Puede obtener más información en el Real Decreto 216/2014, de 28 de marzo, por el que se establece la metodología de cálculo de los precios voluntarios para el pequeño consumidor de energía eléctrica y su régimen jurídico de contratación. Publicación: diariamente sobre las 21:00 horas con la información del día D+1.","Tarifa 2.0.DHA (Eficiencia 2 periodos)",527
"Perfiles de consumo a efectos de facturación del PVPC Tarifa 2.0.DHS (vehículo eléctrico)","Perfil de carga que se utilizará para calcular la facturación en consumidores acogidos al PVPC cuando el suministro no disponga de equipo de medida con capacidad para telemedida y telegestión, y efectivamente integrado en los correspondientes sistemas, aplicando a las lecturas reales por periodos puestas a disposición de los comercializadores por los encargados de la lectura, dichos perfiles de consumo. Para el cálculo de dichos perfiles se utiliza la demanda prevista por el Operador del Sistema. En concreto este indicador se refiere a los perfiles de consumo para el cálculo de la facturación del PVPC para la Tarifa 2.0.DHS (vehículo eléctrico). Puede obtener más información en el Real Decreto 216/2014, de 28 de marzo, por el que se establece la metodología de cálculo de los precios voluntarios para el pequeño consumidor de energía eléctrica y su régimen jurídico de contratación. Publicación: diariamente sobre las 21:00 horas con la información del día D+1.","Tarifa 2.0.DHS (vehículo eléctrico)",528
"Perfil final de consumo A (tarifa 2.0.A)","Perfil final es el perfil de carga que se utilizará para obtener las medidas horarias de los consumidores de un determinado tipo, a partir de registros de medida no horarios. Los perfiles finales se calculan según el método de cálculo descrito en la Resolución de 23 de diciembre de 2015 (y corrección de errores de 30 de marzo de 2016), de la Dirección General de Política Energética y Minas. Para el cálculo de dichos perfiles se utiliza la demanda prevista por el Operador del Sistema. En concreto este indicador se refiere a los perfiles finales para la categoría A: Consumidores con peaje de acceso 2.0.A y 2.1.A y equipos de medida de un solo período (Perfil tipo Pa). Publicación: cada mes antes de que transcurran cinco días desde el final del mes de consumo al que se refieren.","Perfil final de consumo A",529
